sample_id,n_layers,first_G_positive,first_M_positive,persistent_M_positive,M_reversal_after_first_positive,covers_all_indices_0_to_max,pair_id
pair_00_00,25,9,14,14,False,True,pair_00
pair_00_01,25,0,14,14,False,True,pair_00
pair_00_02,25,10,14,14,False,True,pair_00
pair_00_03,25,11,13,13,False,True,pair_00
pair_00_04,25,10,16,16,False,True,pair_00
pair_00_05,25,11,16,16,False,True,pair_00
pair_00_06,25,10,16,16,False,True,pair_00
pair_00_07,25,11,13,13,False,True,pair_00
pair_00_08,25,11,13,13,False,True,pair_00
pair_00_09,25,13,14,14,False,True,pair_00
pair_00_10,25,7,12,12,False,True,pair_00
pair_00_11,25,9,16,16,False,True,pair_00
pair_00_12,25,0,15,15,False,True,pair_00
pair_00_13,25,7,13,13,False,True,pair_00
pair_00_14,25,9,16,16,False,True,pair_00
pair_00_15,25,8,14,14,False,True,pair_00
pair_01_00,25,0,13,13,False,True,pair_01
pair_01_01,25,0,14,14,False,True,pair_01
pair_01_02,25,0,14,14,False,True,pair_01
pair_01_03,25,0,13,13,False,True,pair_01
pair_01_04,25,7,14,14,False,True,pair_01
pair_01_05,25,8,13,13,False,True,pair_01
pair_01_06,25,0,13,13,False,True,pair_01
pair_01_07,25,0,12,12,False,True,pair_01
pair_01_08,25,0,20,20,False,True,pair_01
pair_01_09,25,10,15,15,False,True,pair_01
pair_01_10,25,10,14,14,False,True,pair_01
pair_01_11,25,4,14,14,False,True,pair_01
pair_01_12,25,8,12,12,False,True,pair_01
pair_01_13,25,9,14,14,False,True,pair_01
pair_01_14,25,0,17,17,False,True,pair_01
pair_01_15,25,11,13,13,False,True,pair_01
pair_02_00,25,0,16,16,False,True,pair_02
pair_02_01,25,5,14,14,False,True,pair_02
pair_02_02,25,8,15,15,False,True,pair_02
pair_02_03,25,8,13,13,False,True,pair_02
pair_02_04,25,0,13,13,False,True,pair_02
pair_02_05,25,7,12,12,False,True,pair_02
pair_02_06,25,6,19,19,False,True,pair_02
pair_02_07,25,9,13,13,False,True,pair_02
pair_02_08,25,9,13,13,False,True,pair_02
pair_02_09,25,1,14,14,False,True,pair_02
pair_02_10,25,8,15,15,False,True,pair_02
pair_02_11,25,0,12,12,False,True,pair_02
pair_02_12,25,8,14,14,False,True,pair_02
pair_02_13,25,8,13,13,False,True,pair_02
pair_02_14,25,7,12,12,False,True,pair_02
pair_02_15,25,7,12,12,False,True,pair_02
pair_03_00,25,7,12,12,False,True,pair_03
pair_03_01,25,9,15,15,False,True,pair_03
pair_03_02,25,9,14,14,False,True,pair_03
pair_03_03,25,7,12,12,False,True,pair_03
pair_03_04,25,7,12,12,False,True,pair_03
pair_03_05,25,6,15,15,False,True,pair_03
pair_03_06,25,4,11,11,False,True,pair_03
pair_03_07,25,10,14,14,False,True,pair_03
pair_03_08,25,0,16,16,False,True,pair_03
pair_03_09,25,5,13,13,False,True,pair_03
pair_03_10,25,8,16,16,False,True,pair_03
pair_03_11,25,8,12,12,False,True,pair_03
pair_03_12,25,8,15,15,False,True,pair_03
pair_03_13,25,9,14,14,False,True,pair_03
pair_03_14,25,10,12,12,False,True,pair_03
pair_03_15,25,2,13,13,False,True,pair_03
pair_04_00,25,8,12,12,False,True,pair_04
pair_04_01,25,8,12,12,False,True,pair_04
pair_04_02,25,9,15,15,False,True,pair_04
pair_04_03,25,7,11,11,False,True,pair_04
pair_04_04,25,9,14,14,False,True,pair_04
pair_04_05,25,8,15,15,False,True,pair_04
pair_04_06,25,7,13,13,False,True,pair_04
pair_04_07,25,9,13,13,False,True,pair_04
pair_04_08,25,7,13,13,False,True,pair_04
pair_04_09,25,0,14,14,False,True,pair_04
pair_04_10,25,9,14,14,False,True,pair_04
pair_04_11,25,9,14,14,False,True,pair_04
pair_04_12,25,7,12,12,False,True,pair_04
pair_04_13,25,8,14,14,False,True,pair_04
pair_04_14,25,9,14,14,False,True,pair_04
pair_04_15,25,9,16,16,False,True,pair_04
pair_05_00,25,10,12,12,False,True,pair_05
pair_05_01,25,11,15,15,False,True,pair_05
pair_05_02,25,5,14,14,False,True,pair_05
pair_05_03,25,10,15,15,False,True,pair_05
pair_05_04,25,11,16,16,False,True,pair_05
pair_05_05,25,9,14,14,False,True,pair_05
pair_05_06,25,0,13,13,False,True,pair_05
pair_05_07,25,9,13,13,False,True,pair_05
pair_05_08,25,0,,,False,True,pair_05
pair_05_09,25,10,15,15,False,True,pair_05
pair_05_10,25,8,13,13,False,True,pair_05
pair_05_11,25,9,12,12,False,True,pair_05
pair_05_12,25,9,14,14,False,True,pair_05
pair_05_13,25,11,17,17,False,True,pair_05
pair_05_14,25,11,17,17,False,True,pair_05
pair_05_15,25,0,13,13,False,True,pair_05
pair_06_00,25,9,14,14,False,True,pair_06
pair_06_01,25,7,12,12,False,True,pair_06
pair_06_02,25,8,14,14,False,True,pair_06
pair_06_03,25,8,14,14,False,True,pair_06
pair_06_04,25,8,14,14,False,True,pair_06
pair_06_05,25,0,13,13,False,True,pair_06
pair_06_06,25,7,11,11,False,True,pair_06
pair_06_07,25,7,16,16,False,True,pair_06
pair_06_08,25,5,12,12,False,True,pair_06
pair_06_09,25,10,21,21,False,True,pair_06
pair_06_10,25,8,13,13,False,True,pair_06
pair_06_11,25,7,13,13,False,True,pair_06
pair_06_12,25,10,15,15,False,True,pair_06
pair_06_13,25,7,13,13,False,True,pair_06
pair_06_14,25,1,14,14,False,True,pair_06
pair_06_15,25,9,19,19,False,True,pair_06
pair_07_00,25,11,14,14,False,True,pair_07
pair_07_01,25,9,15,15,False,True,pair_07
pair_07_02,25,0,13,13,False,True,pair_07
pair_07_03,25,10,12,12,False,True,pair_07
pair_07_04,25,10,17,17,False,True,pair_07
pair_07_05,25,10,14,14,False,True,pair_07
pair_07_06,25,8,12,12,False,True,pair_07
pair_07_07,25,10,14,14,False,True,pair_07
pair_07_08,25,12,21,21,False,True,pair_07
pair_07_09,25,9,16,16,False,True,pair_07
pair_07_10,25,9,16,16,False,True,pair_07
pair_07_11,25,12,13,13,False,True,pair_07
pair_07_12,25,0,13,13,False,True,pair_07
pair_07_13,25,8,16,16,False,True,pair_07
pair_07_14,25,9,15,15,False,True,pair_07
pair_07_15,25,9,17,17,False,True,pair_07
pair_08_00,25,0,13,13,False,True,pair_08
pair_08_01,25,9,14,14,False,True,pair_08
pair_08_02,25,7,15,15,False,True,pair_08
pair_08_03,25,11,15,15,False,True,pair_08
pair_08_04,25,5,13,13,False,True,pair_08
pair_08_05,25,4,14,14,False,True,pair_08
pair_08_06,25,5,13,13,False,True,pair_08
pair_08_07,25,8,17,17,False,True,pair_08
pair_08_08,25,9,14,14,False,True,pair_08
pair_08_09,25,9,16,16,False,True,pair_08
pair_08_10,25,8,15,15,False,True,pair_08
pair_08_11,25,7,12,12,False,True,pair_08
pair_08_12,25,4,12,12,False,True,pair_08
pair_08_13,25,10,12,12,False,True,pair_08
pair_08_14,25,7,11,11,False,True,pair_08
pair_08_15,25,9,16,16,False,True,pair_08
pair_09_00,25,8,12,12,False,True,pair_09
pair_09_01,25,4,14,14,False,True,pair_09
pair_09_02,25,4,16,16,False,True,pair_09
pair_09_03,25,4,15,15,False,True,pair_09
pair_09_04,25,0,13,13,False,True,pair_09
pair_09_05,25,4,13,13,False,True,pair_09
pair_09_06,25,10,13,13,False,True,pair_09
pair_09_07,25,8,15,15,False,True,pair_09
pair_09_08,25,9,14,14,False,True,pair_09
pair_09_09,25,4,14,14,False,True,pair_09
pair_09_10,25,8,14,14,False,True,pair_09
pair_09_11,25,0,12,12,False,True,pair_09
pair_09_12,25,8,15,15,False,True,pair_09
pair_09_13,25,12,21,21,False,True,pair_09
pair_09_14,25,7,14,14,False,True,pair_09
pair_09_15,25,5,15,15,False,True,pair_09
pair_10_00,25,5,13,13,False,True,pair_10
pair_10_01,25,0,15,15,False,True,pair_10
pair_10_02,25,7,12,12,False,True,pair_10
pair_10_03,25,0,13,13,False,True,pair_10
pair_10_04,25,9,14,14,False,True,pair_10
pair_10_05,25,7,14,14,False,True,pair_10
pair_10_06,25,9,17,17,False,True,pair_10
pair_10_07,25,7,13,13,False,True,pair_10
pair_10_08,25,9,13,13,False,True,pair_10
pair_10_09,25,9,15,15,False,True,pair_10
pair_10_10,25,7,14,14,False,True,pair_10
pair_10_11,25,7,13,13,False,True,pair_10
pair_10_12,25,5,13,13,False,True,pair_10
pair_10_13,25,10,12,12,False,True,pair_10
pair_10_14,25,10,14,14,False,True,pair_10
pair_10_15,25,5,14,14,False,True,pair_10
pair_11_00,25,9,14,14,False,True,pair_11
pair_11_01,25,7,12,12,False,True,pair_11
pair_11_02,25,0,15,15,False,True,pair_11
pair_11_03,25,7,14,14,False,True,pair_11
pair_11_04,25,1,13,13,False,True,pair_11
